City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,richlands,37.0932,-81.7937,264.86,64,5,4.37,US,1733435864
150,chingirlau,51.095,54.0814,267.31,86,17,3.48,KZ,1733435866
151,nadym,65.5333,72.5167,256.21,89,19,5.13,RU,1733435867
152,zhanaozen,43.3,52.8,273.92,78,9,3.38,KZ,1733435868
153,bam,29.106,58.357,282.63,26,1,0.75,IR,1733435870
154,guerrero negro,27.9769,-114.0611,291.74,69,0,7.6,MX,1733435871
155,olonkinbyen,70.9221,-8.7187,271.31,99,100,9.4,SJ,1733435872
156,rio claro,-22.4114,-47.5614,298.37,85,90,2.64,BR,1733435873
157,sault ste. marie,46.5168,-84.3333,267.05,58,20,7.2,CA,1733435875
158,karatsu,33.4425,129.9697,284.21,25,100,1.34,JP,1733435876
159,umunede,6.2637,6.3116,295.78,59,6,2.12,NG,1733435878
160,kassala,15.451,36.4,297.36,70,1,3.1,SD,1733435879
161,dudinka,69.4058,86.1778,248.15,100,100,2.04,RU,1733435880
162,nova vicosa,-17.8919,-39.3719,297.61,81,26,4.24,BR,1733435881
163,port pirie,-33.1833,138.0167,298.36,59,100,3.31,AU,1733435883
164,dolores,-36.3132,-57.6792,295.57,57,92,6.62,AR,1733435884
165,itagiba,-14.2836,-39.8428,296.22,72,8,2.45,BR,1733435885
166,port alfred,-33.5906,26.891,291.58,83,70,0.45,ZA,1733435886
167,lloydminster,53.2835,-110.0016,273.27,80,40,5.14,CA,1733435888
168,santana,-0.0583,-51.1817,299.25,94,75,3.6,BR,1733435889
169,yakeshi,49.2833,120.7333,246.99,100,75,0.8,CN,1733435890
170,leava,-14.3,-178.1667,300.93,79,99,2.59,WF,1733435892
171,afaahiti,-17.75,-149.2833,298.98,78,100,7.37,PF,1733435893
172,kristiansund,63.1115,7.732,278.51,52,20,4.63,NO,1733435894
173,fort stockton,30.894,-102.8793,288.8,54,75,5.14,US,1733435895
174,deqen,29.9618,90.7188,267.41,18,0,1.15,CN,1733435897
175,guadalajara,20.6667,-103.3333,300.02,14,0,2.57,MX,1733435439
176,chui,-33.6971,-53.4616,293.99,72,5,3.84,UY,1733435899
177,kirakira,-10.4544,161.9205,301.05,75,100,3.88,SB,1733435900
178,kitui,-1.367,38.0106,291.44,73,14,2.32,KE,1733435902
179,greenville,35.6127,-77.3663,283.12,29,0,5.66,US,1733435903
180,komatsu,36.4026,136.4509,281.14,81,75,6.17,JP,1733435904
181,suwayr,30.1171,40.3893,283.86,43,65,4.58,SA,1733435905
182,isafjordur,66.0755,-23.124,269.58,94,100,5.11,IS,1733435907
183,whakatane,-37.9585,176.9854,297.88,60,0,2.24,NZ,1733435908
184,howrah,22.5892,88.3103,292.15,77,0,0.0,IN,1733435909
185,badiyah,22.45,58.8,294.89,64,89,1.0,OM,1733435910
186,tabas,33.5959,56.9244,280.27,31,54,2.06,IR,1733435912
187,nogliki,51.8333,143.1667,250.46,100,67,3.74,RU,1733435913
188,altai,46.3722,96.2583,258.47,88,7,1.55,MN,1733435914
189,punta arenas,-53.15,-70.9167,280.99,61,40,3.6,CL,1733435888
190,klyuchi,52.2667,79.1667,260.04,93,15,3.21,RU,1733435918
191,lorengau,-2.0226,147.2712,301.28,84,100,5.26,PG,1733435919
192,coquimbo,-29.9533,-71.3436,289.81,58,0,5.66,CL,1733435921
193,rawson,-43.3002,-65.1023,283.31,87,100,6.69,AR,1733435922
194,sitka,57.0531,-135.33,282.09,87,75,2.57,US,1733435923
195,broken hill,-31.95,141.4333,306.56,35,50,8.14,AU,1733435924
196,hermosillo,29.0667,-110.9667,299.73,18,0,4.5,MX,1733435749
197,san pedro del parana,-26.8333,-56.2,301.89,65,64,3.09,PY,1733435927
198,alaghsas,17.0187,8.0168,294.25,14,98,3.87,NE,1733435928
199,ranau,5.9538,116.6641,292.78,95,79,1.09,MY,1733435930
200,tangalle,6.024,80.7911,297.64,86,98,0.5,LK,1733435931
201,kuta,-8.7233,115.1723,300.12,89,40,1.54,ID,1733435932
202,hermanus,-34.4187,19.2345,291.37,76,100,5.76,ZA,1733435933
203,varzea da palma,-17.5981,-44.7308,297.21,55,55,2.19,BR,1733435935
204,chegdomyn,51.1167,133.0167,244.77,97,83,0.63,RU,1733435936
205,whitby,54.4877,-0.615,280.3,81,87,7.15,GB,1733435937
206,al mishkhab,31.8042,44.4911,285.21,26,8,3.5,IQ,1733435939
207,mata-utu,-13.2816,-176.1745,301.4,76,68,4.65,WF,1733435940
208,tolanaro,-25.0319,46.9987,298.19,88,0,9.26,MG,1733435941
209,la passe,45.5549,-0.8967,287.35,95,100,10.51,FR,1733435943
210,malango,-2.9627,119.9001,293.14,96,100,1.1,ID,1733435944
211,castro,-24.7911,-50.0119,293.17,90,41,2.74,BR,1733435945
212,praia,14.9215,-23.5087,298.45,83,20,5.66,CV,1733435946
213,guatire,10.4762,-66.5427,295.42,90,93,1.68,VE,1733435948
214,qarqaraly,49.4058,75.4742,260.42,96,100,2.65,KZ,1733435949
215,trairi,-3.2778,-39.2689,299.58,76,99,4.34,BR,1733435950
216,banda aceh,5.5577,95.3222,298.56,85,100,0.69,ID,1733435952
217,hami,42.8,93.45,269.21,70,0,2.16,CN,1733435953
218,crane,31.3974,-102.3501,288.57,39,26,8.73,US,1733435954
219,san luis de la loma,17.2706,-100.8939,300.81,71,60,1.74,MX,1733435955
220,stanley,54.868,-1.6985,278.43,84,20,7.72,GB,1733435957
221,whangarei,-35.7317,174.3239,295.69,49,1,4.38,NZ,1733435958
222,newman,37.3138,-121.0208,289.84,63,96,2.4,US,1733435959
223,kisvarda,48.2167,22.0833,274.8,80,100,2.17,HU,1733435961
224,kas,36.2018,29.6377,288.79,73,90,4.91,TR,1733435962
225,kapuskasing,49.4169,-82.4331,264.15,79,75,7.2,CA,1733435963
226,vila franca do campo,37.7167,-25.4333,291.42,99,100,4.41,PT,1733435964
227,kavaratti,10.5669,72.642,300.69,78,16,4.33,IN,1733435966
228,hajin,34.6927,40.827,285.11,50,8,1.15,SY,1733435967
229,kingsford,-33.924,151.2275,297.67,77,40,2.06,AU,1733435968
230,saint john,45.2727,-66.0677,275.72,93,75,2.06,CA,1733435969
231,darab,28.7519,54.5444,285.1,41,0,1.24,IR,1733435971
232,hinthada,17.6333,95.4667,296.05,68,17,1.2,MM,1733435972
233,naracoorte,-36.9579,140.7383,292.11,63,100,4.65,AU,1733435973
234,boise,43.6135,-116.2035,270.86,93,100,2.57,US,1733435972
235,merizo village,13.2658,144.6691,300.14,89,92,7.8,GU,1733435976
236,schrobenhausen,48.55,11.2667,275.81,80,75,2.06,DE,1733435978
237,tame,6.461,-71.73,301.88,55,79,3.57,CO,1733435980
238,los alamos,35.8881,-106.307,281.69,39,0,4.12,US,1733435981
239,bikenibeu village,1.3673,173.1241,303.13,74,75,8.23,KI,1733435984
240,kingston,17.997,-76.7936,297.13,79,75,4.12,JM,1733435855
241,marysville,48.0518,-122.1771,279.94,83,100,0.89,US,1733435987
242,zarghun shahr,32.8473,68.4457,271.86,70,0,1.55,AF,1733435988
243,nar'yan-mar,67.6713,53.087,269.88,80,100,9.58,RU,1733435989
244,lebu,-37.6167,-73.65,287.63,70,13,3.96,CL,1733435991
245,peace river,56.2501,-117.286,270.32,93,100,2.06,CA,1733435992
246,murray bridge,-35.1167,139.2667,294.8,58,99,5.97,AU,1733435993
247,kourou,5.1552,-52.6478,297.6,87,54,3.03,GF,1733435994
248,ypsonas,34.6884,32.9574,287.69,77,20,3.09,CY,1733435996
249,poronaysk,49.2167,143.1167,257.11,86,22,3.29,RU,1733435997
250,cabedelo,-6.9811,-34.8339,300.52,77,75,4.4,BR,1733435998
251,adrar,20.5022,-10.0711,294.98,15,100,6.67,MR,1733436000
252,enewetak,11.3474,162.3373,301.27,81,19,10.78,MH,1733436001
253,deta,45.3889,21.2244,277.07,88,100,1.44,RO,1733436002
254,balabac,7.9868,117.0645,299.81,82,98,1.52,PH,1733436003
255,robore,-18.3333,-59.75,303.2,74,75,2.06,BO,1733436006
256,kantharalak,14.6406,104.6499,293.69,100,30,1.8,TH,1733436007
257,fuglafjordur,62.244,-6.814,278.04,83,100,13.99,FO,1733436010
258,at taj,24.2049,23.2857,286.49,35,36,1.96,LY,1733436011
259,keflavik,64.0049,-22.5624,273.39,86,75,4.12,IS,1733436013
260,kayangel,8.0823,134.7173,301.87,77,78,5.89,PW,1733436014
261,saudarkrokur,65.7461,-19.6394,270.75,94,100,0.8,IS,1733436015
262,liperi,62.5333,29.3667,270.41,93,100,7.72,FI,1733436017
263,usinsk,65.9939,57.5281,265.53,86,100,7.69,RU,1733435945
264,nikolayevsk-on-amure,53.1406,140.73,249.84,100,100,0.36,RU,1733436019
265,waynesville,35.4887,-82.9887,272.42,32,0,2.57,US,1733436020
266,igarka,67.4667,86.5833,261.83,93,100,6.84,RU,1733436023
267,qingdao,36.0986,120.3719,272.93,69,48,2.0,CN,1733436024
268,glowno,51.9646,19.7157,272.66,100,65,3.68,PL,1733436026
269,alotau,-10.3069,150.4462,301.78,78,100,0.83,PG,1733436027
270,prince rupert,54.3161,-130.3201,281.98,87,100,14.4,CA,1733435749
271,sainte-anne-des-monts,49.124,-66.4924,274.08,80,100,9.26,CA,1733436032
272,shushenskoye,53.325,91.9356,263.68,97,69,0.7,RU,1733436034
273,lazarevskoye,43.9061,39.3331,284.14,63,100,1.0,RU,1733436035
274,krutinka,56.0055,71.5113,265.06,96,99,2.99,RU,1733436036
275,howard springs,-12.497,131.047,298.05,97,100,2.64,AU,1733436037
276,revda,56.801,59.9303,264.22,90,86,4.05,RU,1733436039
277,porto novo,6.4965,2.6036,302.05,79,44,2.81,BJ,1733436032
278,balta,47.9355,29.6198,270.48,88,51,1.58,UA,1733436041
279,colares,38.7992,-9.4469,287.7,86,82,2.24,PT,1733436043
280,pyin oo lwin,22.0333,96.4667,286.83,93,7,0.73,MM,1733436044
281,port elizabeth,-33.918,25.5701,291.66,88,75,4.63,ZA,1733436045
282,omdurman,15.6445,32.4777,296.25,20,4,6.51,SD,1733436047
283,inirida,3.8653,-67.9239,297.99,94,100,1.52,CO,1733436048
284,sanctuary point,-35.1114,150.629,296.32,85,72,0.91,AU,1733436049
285,calabozo,8.9242,-67.4293,303.94,33,100,2.83,VE,1733436050
286,saipan,15.1355,145.701,301.84,84,20,2.68,MP,1733436052
287,shiguai,40.7058,110.2856,266.7,70,50,3.1,CN,1733436053
288,pimenta bueno,-11.6725,-61.1936,300.45,75,97,2.1,BR,1733436054
289,puerto ayora,-0.7393,-90.3518,296.23,93,64,2.24,EC,1733436055
290,lubango,-14.9172,13.4925,289.59,79,100,1.39,AO,1733436057
291,stjordalshalsen,63.4681,10.9262,274.73,52,0,9.26,NO,1733436058
292,itaberai,-16.0203,-49.8103,294.87,93,99,1.46,BR,1733436060
